gene_family,total_genomes,diazotroph_count,diazotroph_pct,is_pure
GF_00425,42,0,0.0,True
GF_00426,71,69,0.971830985915493,True
GF_00427,51,51,1.0,True
GF_00428,63,62,0.9841269841269841,True
GF_00429,72,70,0.9722222222222222,True
GF_00430,42,40,0.9523809523809523,True
GF_00431,206,118,0.5728155339805825,False
GF_00432,87,82,0.9425287356321839,True
GF_00433,40,40,1.0,True
GF_00434,47,46,0.9787234042553191,True
GF_00435,145,94,0.6482758620689655,False
GF_00436,57,55,0.9649122807017544,True
GF_00437,82,82,1.0,True
GF_00438,79,77,0.9746835443037974,True
GF_00439,88,78,0.8863636363636364,False
GF_00440,47,47,1.0,True
GF_00441,61,57,0.9344262295081968,True
GF_00442,47,46,0.9787234042553191,True
GF_00443,71,69,0.971830985915493,True
GF_00444,70,68,0.9714285714285714,True
GF_00445,41,39,0.9512195121951219,True
GF_00446,50,49,0.98,True
GF_00447,43,42,0.9767441860465116,True
GF_00448,63,61,0.9682539682539683,True
GF_00449,56,5,0.08928571428571429,True
GF_00450,40,18,0.45,False
GF_00451,146,52,0.3561643835616438,False
GF_00452,79,77,0.9746835443037974,True
GF_00453,50,49,0.98,True
GF_00454,44,33,0.75,False
GF_00455,69,67,0.9710144927536232,True
GF_00456,71,69,0.971830985915493,True
GF_00457,113,90,0.7964601769911505,False
GF_00458,79,77,0.9746835443037974,True
GF_00459,92,0,0.0,True
GF_00460,77,0,0.0,True
GF_00461,68,0,0.0,True
GF_00462,77,0,0.0,True
GF_00463,79,0,0.0,True
GF_00464,73,0,0.0,True
GF_00465,120,0,0.0,True
GF_00466,93,0,0.0,True
GF_00467,147,0,0.0,True
GF_00468,91,0,0.0,True
GF_00469,44,0,0.0,True
GF_00470,93,0,0.0,True
GF_00471,73,71,0.9726027397260274,True
GF_00472,65,63,0.9692307692307692,True
GF_00473,51,49,0.9607843137254902,True
GF_00474,55,53,0.9636363636363636,True
GF_00475,84,82,0.9761904761904762,True
GF_00476,80,75,0.9375,True
GF_00477,51,49,0.9607843137254902,True
GF_00478,45,43,0.9555555555555556,True
GF_00479,71,69,0.971830985915493,True
GF_00480,54,53,0.9814814814814815,True
GF_00481,46,45,0.9782608695652174,True
GF_00482,46,45,0.9782608695652174,True
GF_00483,47,46,0.9787234042553191,True
GF_00484,67,65,0.9701492537313433,True
GF_00485,79,77,0.9746835443037974,True
GF_00486,42,41,0.9761904761904762,True
