gene_family,n_members,n_genomes,n_diazotroph,n_non_diazo,n_genera,frac_diazotroph
GF_00504,48,48,47,1,9,0.9791666666666666
GF_00505,48,48,36,12,18,0.75
GF_00506,91,48,49,42,10,0.5384615384615384
GF_00507,56,56,11,45,11,0.19642857142857142
GF_00508,206,206,58,148,58,0.2815533980582524
GF_00509,54,54,16,38,25,0.2962962962962963
GF_00510,42,42,41,1,8,0.9761904761904762
GF_00511,40,40,39,1,9,0.975
GF_00512,50,50,49,1,11,0.98
GF_00513,56,56,55,1,13,0.9821428571428571
GF_00514,65,65,63,2,14,0.9692307692307692
GF_00515,59,59,58,1,15,0.9830508474576272
GF_00516,43,43,42,1,8,0.9767441860465116
GF_00517,82,82,78,4,20,0.9512195121951219
GF_00518,86,86,82,4,22,0.9534883720930233
GF_00519,64,64,62,2,13,0.96875
GF_00520,89,89,84,5,23,0.9438202247191011
GF_00521,41,41,40,1,8,0.975609756097561
GF_00522,49,49,48,1,15,0.9795918367346939
GF_00523,79,79,77,2,19,0.9746835443037974
GF_00524,58,58,53,5,24,0.9137931034482759
GF_00525,41,41,37,4,19,0.9024390243902439
GF_00526,51,51,51,0,13,1.0
GF_00527,60,60,59,1,15,0.9833333333333333
GF_00528,87,87,82,5,23,0.9425287356321839
GF_00529,55,55,54,1,13,0.9818181818181818
GF_00530,48,48,47,1,10,0.9791666666666666
GF_00531,73,73,71,2,17,0.9726027397260274
GF_00532,45,45,44,1,9,0.9777777777777777
GF_00533,159,159,68,91,49,0.4276729559748428
GF_00534,56,56,55,1,14,0.9821428571428571
GF_00535,88,88,84,4,22,0.9545454545454546
GF_00536,56,56,55,1,13,0.9821428571428571
GF_00537,40,40,39,1,7,0.975
GF_00538,65,65,64,1,16,0.9846153846153847
GF_00539,84,84,82,2,19,0.9761904761904762
GF_00540,44,44,44,0,9,1.0
GF_00541,84,84,82,2,19,0.9761904761904762
GF_00542,101,99,71,30,32,0.7029702970297029
GF_00543,50,50,49,1,12,0.98
GF_00544,44,44,43,1,8,0.9772727272727273
GF_00545,86,86,82,4,21,0.9534883720930233
GF_00546,42,42,41,1,8,0.9761904761904762
GF_00547,41,41,41,0,9,1.0
GF_00548,48,48,47,1,9,0.9791666666666666
GF_00549,47,47,47,0,9,1.0
GF_00550,68,68,66,2,15,0.9705882352941176
GF_00551,86,86,82,4,21,0.9534883720930233
GF_00552,79,79,75,4,21,0.9493670886075949
GF_00553,59,59,57,2,15,0.9661016949152542
GF_00554,57,57,56,1,14,0.9824561403508771
GF_00555,81,81,78,3,19,0.9629629629629629
GF_00556,52,52,51,1,11,0.9807692307692307
GF_00557,86,80,84,2,20,0.9767441860465116
GF_00558,140,140,99,41,40,0.7071428571428572
GF_00559,44,44,43,1,9,0.9772727272727273
GF_00560,42,42,40,2,13,0.9523809523809523
GF_00561,46,46,45,1,10,0.9782608695652174
GF_00562,54,54,53,1,11,0.9814814814814815
GF_00563,54,54,53,1,13,0.9814814814814815
GF_00564,62,62,60,2,18,0.967741935483871
GF_00565,86,84,82,4,23,0.9534883720930233
GF_00566,84,84,82,2,19,0.9761904761904762
GF_00567,86,86,84,2,20,0.9767441860465116
GF_00568,56,56,55,1,14,0.9821428571428571
GF_00569,76,76,74,2,18,0.9736842105263158
GF_00570,40,40,39,1,13,0.975
GF_00571,104,104,47,57,28,0.4519230769230769
GF_00572,60,60,59,1,15,0.9833333333333333
GF_00573,83,83,80,3,20,0.963855421686747
GF_00574,84,84,82,2,19,0.9761904761904762
GF_00575,45,45,5,40,10,0.1111111111111111
GF_00576,51,51,50,1,14,0.9803921568627451
